Complex_Name,Protein,Ligand,Delta_G (kcal/mol),Closest_Cys_ID,Distance_to_CHO (A)
A3_24_Tetradecanal,A3.pdb,24_Tetradecanal.sdf,-5.41,313,6.037
A7_55_Ethanol,A7.pdb,55_Ethanol.sdf,-5.41,318,4.735
A1_29_Salicylaldehyde,A1.pdb,29_Salicylaldehyde.sdf,-5.41,303,3.74
A7_17_nonanal,A7.pdb,17_nonanal.sdf,-5.41,318,5.223
A4_17_nonanal,A4.pdb,17_nonanal.sdf,-5.41,318,4.717
A1_14_trans-2-Hexenal,A1.pdb,14_trans-2-Hexenal.sdf,-5.41,303,6.655
"A3_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A3.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.41,313,4.551
A3_29_Salicylaldehyde,A3.pdb,29_Salicylaldehyde.sdf,-5.41,314,3.967
A3_28_Phenylacetaldehyde,A3.pdb,28_Phenylacetaldehyde.sdf,-5.41,314,5.167
A3_22_trans-2-Octenal,A3.pdb,22_trans-2-Octenal.sdf,-5.41,313,5.285
A1_18_decanal,A1.pdb,18_decanal.sdf,-5.41,302,4.504
A4_45_adipate semialdehyde,A4.pdb,45_adipate semialdehyde.sdf,-5.41,319,4.151
A3_27_Benzaldehyde,A3.pdb,27_Benzaldehyde.sdf,-5.41,314,4.0
A1_4_malonaldehyde,A1.pdb,4_malonaldehyde.sdf,-5.41,303,2.469
A1_44_glutarate semialdehyde,A1.pdb,44_glutarate semialdehyde.sdf,-5.41,303,4.294
A5_3_propylaldehyde,A5.pdb,3_propylaldehyde.sdf,-5.41,86,7.536
A7_24_Tetradecanal,A7.pdb,24_Tetradecanal.sdf,-5.41,318,5.32
A4_33_11-cis-Retinol,A4.pdb,33_11-cis-Retinol.sdf,-5.41,318,6.933
A3_1_formaldehyde,A3.pdb,1_formaldehyde.sdf,-5.41,314,2.669
A4_8_hexanal,A4.pdb,8_hexanal.sdf,-5.41,318,4.504
A2_22_trans-2-Octenal,A2.pdb,22_trans-2-Octenal.sdf,-5.41,281,5.846
A4_44_glutarate semialdehyde,A4.pdb,44_glutarate semialdehyde.sdf,-5.41,318,3.235
A2_17_nonanal,A2.pdb,17_nonanal.sdf,-5.41,282,2.49
A4_6_amylaldehyde,A4.pdb,6_amylaldehyde.sdf,-5.41,319,4.119
A1_25_hexadecanal,A1.pdb,25_hexadecanal.sdf,-5.4,302,5.319
"A2_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A2.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.4,281,9.768
A2_32_9-cis-Retinal,A2.pdb,32_9-cis-Retinal.sdf,-5.4,281,9.599
A6_46_Succinic semialdehyde,A6.pdb,46_Succinic semialdehyde.sdf,-5.4,466,10.546
"A6_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A6.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.4,466,12.419
A7_7_glutaraldehyde,A7.pdb,7_glutaraldehyde.sdf,-5.4,318,3.119
A7_8_hexanal,A7.pdb,8_hexanal.sdf,-5.4,318,4.646
A6_2_acetaldehyde,A6.pdb,2_acetaldehyde.sdf,-5.4,466,3.497
A7_29_Salicylaldehyde,A7.pdb,29_Salicylaldehyde.sdf,-5.4,318,3.578
A5_11_prop-2-enal,A5.pdb,11_prop-2-enal.sdf,-5.4,86,8.434
A1_1_formaldehyde,A1.pdb,1_formaldehyde.sdf,-5.4,303,3.191
A2_23_4-Hydroxynonenal,A2.pdb,23_4-Hydroxynonenal.sdf,-5.4,281,5.043
A1_11_prop-2-enal,A1.pdb,11_prop-2-enal.sdf,-5.4,303,2.59
A4_32_9-cis-Retinal,A4.pdb,32_9-cis-Retinal.sdf,-5.4,318,7.369
A7_27_Benzaldehyde,A7.pdb,27_Benzaldehyde.sdf,-5.4,318,3.464
A2_12_prop-2-ynal,A2.pdb,12_prop-2-ynal.sdf,-5.4,282,2.499
A2_13_(2E)-but-2-enal,A2.pdb,13_(2E)-but-2-enal.sdf,-5.4,282,4.165
A2_6_amylaldehyde,A2.pdb,6_amylaldehyde.sdf,-5.4,282,4.087
A2_4_malonaldehyde,A2.pdb,4_malonaldehyde.sdf,-5.4,282,2.462
A3_20_Citral,A3.pdb,20_Citral.sdf,-5.4,313,5.772
A2_1_formaldehyde,A2.pdb,1_formaldehyde.sdf,-5.4,282,2.573
A2_21_cis-2-Octenal,A2.pdb,21_cis-2-Octenal.sdf,-5.4,282,2.166
A7_26_trans-2-hexadecenal,A7.pdb,26_trans-2-hexadecenal.sdf,-5.4,318,6.891
A3_32_9-cis-Retinal,A3.pdb,32_9-cis-Retinal.sdf,-5.4,313,7.43
A2_16_octanaldehyde,A2.pdb,16_octanaldehyde.sdf,-5.4,281,5.377
A4_5_butyraldehyde,A4.pdb,5_butyraldehyde.sdf,-5.4,320,3.901
A3_16_octanaldehyde,A3.pdb,16_octanaldehyde.sdf,-5.4,313,5.509
A3_17_nonanal,A3.pdb,17_nonanal.sdf,-5.4,313,5.247
A2_35_Cinnamaldehyde,A2.pdb,35_Cinnamaldehyde.sdf,-5.4,281,5.167
A2_36_3-(4-Isopropylphenyl)-2-methylpropanal,A2.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.4,282,3.013
A1_35_Cinnamaldehyde,A1.pdb,35_Cinnamaldehyde.sdf,-5.4,163,16.85
A4_35_Cinnamaldehyde,A4.pdb,35_Cinnamaldehyde.sdf,-5.39,318,3.94
A2_19_dodecanal,A2.pdb,19_dodecanal.sdf,-5.39,281,6.53
A2_20_Citral,A2.pdb,20_Citral.sdf,-5.39,282,5.594
A6_12_prop-2-ynal,A6.pdb,12_prop-2-ynal.sdf,-5.39,466,2.275
A5_44_glutarate semialdehyde,A5.pdb,44_glutarate semialdehyde.sdf,-5.39,86,8.603
